City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Luderitz,NA,-26.6481,15.1594,65.75,45,31,7.96,scattered clouds
202,Muros,ES,42.7762,-9.0603,67.68,80,9,16.93,clear sky
203,Kismayo,SO,-0.3582,42.5454,78.82,79,100,15.57,light rain
204,Provideniya,RU,64.3833,-173.3,37.62,70,95,0.89,overcast clouds
205,Byron Bay,AU,-28.65,153.6167,49.71,57,2,6.85,clear sky
206,Lompoc,US,34.6391,-120.4579,81.59,67,0,16.11,clear sky
207,Avera,US,33.194,-82.5271,91.54,41,81,1.5,broken clouds
208,Anadyr,RU,64.75,177.4833,45.1,56,0,11.18,clear sky
209,Sangar,RU,63.9242,127.4739,53.31,81,100,3.13,overcast clouds
210,Tarko-Sale,RU,64.9225,77.785,60.75,70,98,17.65,overcast clouds
211,Nome,US,64.5011,-165.4064,49.15,40,0,0.0,clear sky
212,Dharchula,IN,29.85,80.5333,72.59,43,32,6.26,scattered clouds
213,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,92,100,13.8,overcast clouds
214,Kodino,RU,63.7198,39.6447,48.63,78,32,4.25,scattered clouds
215,Kharitonovo,RU,61.4009,47.4978,42.46,74,12,4.81,few clouds
216,Cedar City,US,37.6775,-113.0619,92.37,10,0,16.11,clear sky
217,Padang,ID,-0.9492,100.3543,73.9,93,100,3.27,moderate rain
218,Bonthe,SL,7.5264,-12.505,79.47,81,100,7.9,overcast clouds
219,Necochea,AR,-38.5473,-58.7368,46.45,72,0,5.88,clear sky
220,Evensk,RU,61.95,159.2333,41.52,93,100,8.86,light rain
221,Tadine,NC,-21.55,167.8833,74.79,88,84,5.91,broken clouds
222,Hisor,TJ,38.525,68.5512,73.15,50,1,4.05,clear sky
223,Storsteinnes,NO,69.2408,19.2344,48.85,93,100,4.81,light rain
224,Vanimo,PG,-2.6741,141.3028,76.46,89,62,3.98,broken clouds
225,Kodinsk,RU,58.6881,99.1844,54.9,64,72,5.26,broken clouds
226,Blagoveshchenka,RU,52.8333,79.8667,61.39,65,69,4.29,broken clouds
227,Carinhanha,BR,-14.3047,-43.765,80.19,26,6,4.59,clear sky
228,San Jeronimo,PE,-11.9472,-75.2829,60.55,42,8,4.72,clear sky
229,Okato,NZ,-39.2,173.8833,57.18,87,100,17.0,moderate rain
230,Gambo,CF,4.6482,22.2633,71.69,86,31,1.92,scattered clouds
231,Lata,PT,40.1629,-8.3327,66.07,81,0,2.84,clear sky
232,Najran,SA,17.4924,44.1277,84.85,12,5,2.86,clear sky
233,Kruisfontein,ZA,-34.0033,24.7314,67.89,21,94,17.43,overcast clouds
234,Tautira,PF,-17.7333,-149.15,78.26,81,55,21.65,light rain
235,Pakxan,LA,18.3778,103.6601,75.36,94,96,1.97,moderate rain
236,La Ronge,CA,55.1001,-105.2842,62.82,72,75,6.91,broken clouds
237,Road Town,VG,18.4167,-64.6167,86.04,74,40,14.97,scattered clouds
238,Cankuzo,BI,-3.1333,30.5833,63.16,67,88,2.66,overcast clouds
239,Saint George,US,37.1041,-113.5841,104.79,10,0,23.02,clear sky
240,Dawlatabad,AF,36.4141,64.9053,80.06,30,77,3.24,broken clouds
241,Karpogory,RU,64.0019,44.4451,42.73,71,0,4.45,clear sky
242,Antofagasta,CL,-23.65,-70.4,60.08,73,23,6.33,few clouds
243,Veraval,IN,20.9,70.3667,82.78,79,71,10.07,broken clouds
244,Tuatapere,NZ,-46.1333,167.6833,35.83,97,99,4.27,moderate rain
245,Nong Khai,TH,17.9167,103.0833,80.29,88,89,3.8,overcast clouds
246,Safakulevo,RU,54.9901,62.5442,52.52,96,16,8.93,few clouds
247,Birjand,IR,32.8663,59.2211,73.87,33,0,11.5,clear sky
248,Port Macquarie,AU,-31.4333,152.9167,44.24,71,0,6.13,clear sky
249,Deputatskiy,RU,69.3,139.9,53.85,60,1,5.97,clear sky
250,Dunedin,NZ,-45.8742,170.5036,45.81,48,100,11.01,light rain
251,Hindoria,IN,23.9,79.5667,91.44,37,40,11.81,scattered clouds
252,Yudong,CN,29.385,106.5194,74.37,99,100,3.89,overcast clouds
253,Zyryanka,RU,65.75,150.85,51.8,68,66,5.21,broken clouds
254,Laje,BR,-10.1833,-40.9667,80.44,46,95,6.78,overcast clouds
255,Tura,IN,25.5198,90.2201,73.83,98,95,7.96,moderate rain
256,Chokurdakh,RU,70.6333,147.9167,56.59,36,34,11.25,scattered clouds
257,Tatvan,TR,38.5067,42.2817,59.7,69,2,4.12,clear sky
258,Krasnyy Chikoy,RU,50.3643,108.7512,47.37,97,82,2.1,broken clouds
