City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Ucluelet,CA,2022-06-01 03:00:28,48.9329,-125.5528,57.09,80,84,7.63
199,Curup,ID,2022-06-01 03:00:28,-3.4667,102.5333,80.2,60,89,2.26
200,Coquimbo,CL,2022-06-01 02:58:57,-29.9533,-71.3436,53.33,82,100,6.91
201,Tuatapere,NZ,2022-06-01 03:00:28,-46.1333,167.6833,56.52,82,100,4.25
202,Maceio,BR,2022-06-01 03:00:20,-9.6658,-35.7353,74.64,88,75,2.3
203,Camalu,MX,2022-06-01 03:00:29,30.85,-116.0667,62.89,86,2,6.08
204,Brewster,US,2022-06-01 03:00:29,41.3973,-73.6171,72.95,86,99,4.68
205,Regina,CA,2022-06-01 02:57:22,50.4501,-104.6178,59.11,28,20,18.41
206,Champerico,GT,2022-06-01 03:00:30,14.3,-91.9167,78.17,75,100,15.21
207,Pyshchug,RU,2022-06-01 03:00:30,58.8873,45.7134,58.03,76,51,1.01
208,Northam,GB,2022-06-01 03:00:31,51.0333,-4.2167,53.62,89,31,6.13
209,Almaznyy,RU,2022-06-01 03:00:31,48.0448,40.045,63.77,87,100,11.72
210,Kedougou,SN,2022-06-01 03:00:32,12.5579,-12.1743,84.36,56,29,3.87
211,Itarema,BR,2022-06-01 03:00:32,-2.9248,-39.9167,76.08,90,100,8.97
212,Hinton,CA,2022-06-01 02:57:22,53.4001,-117.5857,54.16,49,100,6.49
213,Norman Wells,CA,2022-06-01 03:00:32,65.282,-126.8329,55.44,94,75,6.91
214,Vitim,RU,2022-06-01 03:00:33,59.4511,112.5578,56.03,65,100,6.89
215,Portland,US,2022-06-01 02:56:44,45.5234,-122.6762,72.91,58,37,3.0
216,Husavik,IS,2022-06-01 03:00:33,66.0449,-17.3389,45.28,88,95,0.13
217,Porto Velho,BR,2022-06-01 03:00:34,-8.7619,-63.9039,75.25,94,0,0.0
218,Cidreira,BR,2022-06-01 03:00:34,-30.1811,-50.2056,48.02,77,7,3.29
219,Zvishavane,ZW,2022-06-01 03:00:34,-20.3267,30.0665,50.56,92,0,4.23
220,Weligama,LK,2022-06-01 03:00:35,5.9667,80.4167,79.25,86,99,17.56
221,Marzuq,YE,2022-06-01 03:00:35,14.4,46.4667,77.61,18,9,5.03
222,Clyde River,CA,2022-06-01 03:00:36,70.4692,-68.5914,25.36,89,100,4.65
223,Cleveland,US,2022-06-01 02:58:34,41.4995,-81.6954,77.04,67,37,9.91
224,Udachnyy,RU,2022-06-01 03:00:36,66.4167,112.4,62.46,6,70,12.39
225,Isla Mujeres,MX,2022-06-01 03:01:37,21.2311,-86.731,78.17,88,100,16.22
226,La Maddalena,IT,2022-06-01 03:01:37,41.2142,9.4083,59.05,84,0,11.97
227,Souillac,MU,2022-06-01 03:01:37,-20.5167,57.5167,72.88,66,60,11.52
228,Broken Hill,AU,2022-06-01 03:01:37,-31.95,141.4333,52.86,49,36,12.75
229,Eureka,US,2022-06-01 03:00:16,40.8021,-124.1637,57.2,81,33,5.01
230,Kamaishi,JP,2022-06-01 03:01:38,39.2667,141.8833,66.11,59,97,7.25
231,Walvis Bay,NA,2022-06-01 03:01:38,-22.9575,14.5053,70.5,18,0,20.83
232,Rock Sound,BS,2022-06-01 03:00:07,24.9,-76.2,78.33,79,100,12.59
233,Vultureni,RO,2022-06-01 03:01:39,46.3667,27.2833,61.38,94,27,5.48
